outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element
366,3,"[23, 30, 318]",50,CURRENT_icmp_sent,33,35
367,3,"[3, 3, 5]",51,CURRENT_icmp_sent,33,35
368,3,"[49, 49, 54]",52,CURRENT_icmp_recv,6,8
369,3,"[49, 49, 71]",52,CURRENT_icmp_recv,7,9
370,3,"[39, 39, 68]",52,CURRENT_icmp_recv,18,20
371,3,"[32, 36, 36]",52,CURRENT_icmp_sent,6,8
372,3,"[36, 36, 46]",52,CURRENT_icmp_sent,7,9
373,3,"[19, 20, 94]",52,CURRENT_icmp_sent,16,18
374,3,"[61, 96, 97]",52,CURRENT_icmp_sent,24,26
375,3,"[2, 4, 4]",53,CURRENT_icmp_recv,5,7
376,3,"[3, 4, 4]",53,CURRENT_icmp_recv,7,9
377,3,"[28, 29, 29]",53,CURRENT_icmp_recv,21,23
378,3,"[6, 29, 29]",53,CURRENT_icmp_recv,22,24
379,3,"[16, 16, 29]",53,CURRENT_icmp_recv,28,30
380,3,"[16, 16, 22]",53,CURRENT_icmp_recv,29,31
381,3,"[32, 33, 70]",53,CURRENT_icmp_recv,32,34
382,3,"[3, 4, 4]",53,CURRENT_icmp_sent,4,6
383,3,"[4, 4, 5]",53,CURRENT_icmp_sent,7,9
384,3,"[4, 4, 5]",53,CURRENT_icmp_sent,8,10
385,3,"[7, 7, 9]",53,CURRENT_icmp_sent,15,17
386,3,"[7, 7, 24]",53,CURRENT_icmp_sent,16,18
387,3,"[10, 12, 12]",53,CURRENT_icmp_sent,21,23
388,3,"[5, 12, 12]",53,CURRENT_icmp_sent,22,24
389,3,"[10, 10, 14]",54,CURRENT_icmp_recv,4,6
390,3,"[8, 10, 10]",54,CURRENT_icmp_recv,5,7
391,3,"[8, 12, 12]",54,CURRENT_icmp_recv,7,9
392,3,"[12, 12, 21]",54,CURRENT_icmp_recv,8,10
393,3,"[52, 98, 98]",54,CURRENT_icmp_recv,13,15
394,3,"[9, 9, 11]",54,CURRENT_icmp_sent,6,8
395,3,"[9, 9, 14]",54,CURRENT_icmp_sent,7,9
396,3,"[44, 45, 94]",54,CURRENT_icmp_sent,23,25
397,3,"[44, 45, 80]",54,CURRENT_icmp_sent,24,26
398,3,"[2, 2, 5]",55,CURRENT_icmp_recv,4,6
399,3,"[1, 2, 2]",55,CURRENT_icmp_recv,6,8
400,3,"[3, 3, 4]",55,CURRENT_icmp_sent,3,5
401,3,"[3, 3, 5]",55,CURRENT_icmp_sent,4,6
402,3,"[3, 3, 5]",55,CURRENT_icmp_sent,5,7
403,3,"[3, 3, 5]",55,CURRENT_icmp_sent,6,8
404,3,"[3, 3, 4]",55,CURRENT_icmp_sent,7,9
405,3,"[3, 4, 4]",55,CURRENT_icmp_sent,8,10
406,3,"[4, 4, 12]",55,CURRENT_icmp_sent,9,11
